Time,load,pv,schedule,ev_avail,ev_demand
2016-01-01 00:00:00,0.0183501135461672,7.04546466156181e-05,-0.01827965889955158,1.0,0.0
2016-01-01 00:15:00,0.0183276402096313,0.0002472798864404,-0.0180803603231909,1.0,0.0
2016-01-01 00:30:00,0.0186881603411869,0.0002556439361969,-0.01843251640499,1.0,0.0
2016-01-01 00:45:00,0.0184871298585762,0.00035547628083399996,-0.018131653577742202,1.0,0.0
2016-01-01 01:00:00,0.0179609033250519,0.0010430721723367,-0.0169178311527152,1.0,0.0
2016-01-01 01:15:00,0.0183569591857021,0.0010594459560612,-0.017297513229640897,1.0,0.0
2016-01-01 01:30:00,0.0429906796923723,0.0021104014895109,-0.0408802782028614,1.0,0.0
2016-01-01 01:45:00,0.0468752880631146,0.0012627368346117,-0.0456125512285029,1.0,0.0
2016-01-01 02:00:00,0.04839955195562141,0.0034005784433971996,-0.044998973512224205,1.0,0.0
2016-01-01 02:15:00,0.04895941513644,0.0034302420258755994,-0.0455291731105644,1.0,0.0
2016-01-01 02:30:00,0.0448443403712756,0.0044974952377916,-0.040346845133483994,1.0,0.0
2016-01-01 02:45:00,0.0243064739511402,0.0087416387113377,-0.0155648352398025,1.0,0.0
2016-01-01 03:00:00,0.0495014864417933,0.0054444566014102,-0.0440570298403831,1.0,0.0
2016-01-01 03:15:00,0.0493275564676503,0.013092584681101398,-0.0362349717865489,1.0,0.0
2016-01-01 03:30:00,0.0503633213311156,0.0143581217010604,-0.036005199630055204,1.0,0.0
2016-01-01 03:45:00,0.0499530098865384,0.0010009727768025,-0.0489520371097359,0.0,15.3136
2016-01-01 04:00:00,0.0291384623307321,0.0190323954720175,-0.0101060668587146,0.0,0.0
2016-01-01 04:15:00,0.0181229042056159,0.0020486715257943,-0.016074232679821603,0.0,0.0
2016-01-01 04:30:00,0.0184295811072935,0.0437830919236495,0.025353510816356,0.0,0.0
2016-01-01 04:45:00,0.0184305987280745,0.0031536962879483,-0.0152769024401262,0.0,0.0
2016-01-01 05:00:00,0.0185237682294309,0.0083302330939972,-0.0101935351354337,0.0,0.0
2016-01-01 05:15:00,0.0185859507615892,0.0306331420625005,0.012047191300911302,0.0,0.0
2016-01-01 05:30:00,0.0183005206430141,0.0366225507371767,0.018322030094162597,0.0,0.0
2016-01-01 05:45:00,0.0855216764172982,0.0050192915366731,-0.0805023848806251,0.0,0.0
