,load,pv,schedule,price
2021-01-01 00:00:00,0.19609394681020342,0.0003307710368518714,-0.19576317577335156,0.27430304575996245
2021-01-01 01:00:00,0.37349867640710505,0.0005025430110028584,-0.3729961333961022,0.10688359613205589
2021-01-01 02:00:00,0.5933515623185925,0.006227648614690033,-0.5871239137039025,0.15759310783695224
2021-01-01 03:00:00,0.6854238959658518,0.008400151792723461,-0.6770237441731284,0.232665958637189
2021-01-01 04:00:00,0.2558051365114883,0.0217301292382903,-0.234075007273198,0.2583187380768682
2021-01-01 05:00:00,0.6115391946806265,0.07259765312086082,-0.5389415415597656,0.20535279687056668
2021-01-01 06:00:00,0.39084769598176794,0.15146148446787716,-0.23938621151389078,0.25360794637948486
2021-01-01 07:00:00,0.6732850569012985,0.41022772088588844,-0.26305733601541004,0.03693225964247832
2021-01-01 08:00:00,0.17830440653417962,0.30656530920100633,0.12826090266682671,0.05073413490470485
2021-01-01 09:00:00,0.3900548743955701,0.5534636101480347,0.16340873575246462,0.0557650755696901
2021-01-01 10:00:00,0.662167830355791,0.9851280427036393,0.32296021234784833,0.012779532496533963
2021-01-01 11:00:00,0.040866158280734186,0.13363349038497385,0.09276733210423967,0.05087630281830577
2021-01-01 12:00:00,0.09106759031323636,1.4012284245889706,1.3101608342757343,0.0220962512943272
2021-01-01 13:00:00,0.038890752081033125,0.00014768831604925666,-0.03874306376498387,0.15543372752536133
2021-01-01 14:00:00,0.31741848895997915,0.5018599012416611,0.18444141228168198,0.013087147704535979
2021-01-01 15:00:00,0.6798878758511048,0.03057208153559006,-0.6493157943155147,0.21036677142753538
2021-01-01 16:00:00,0.3533041298210224,0.2462691050099306,-0.10703502481109178,0.10785920229088977
2021-01-01 17:00:00,0.051698981374261696,0.19276462744469025,0.14106564607042854,0.024345251086054127
2021-01-01 18:00:00,0.2679852683789107,0.0045672107257221685,-0.2634180576531885,0.14026686802624289
2021-01-01 19:00:00,0.602028653625283,0.026144564311681197,-0.5758840893136018,0.23462241334711825
2021-01-01 20:00:00,0.5292708927589685,0.001389370463330087,-0.5278815222956385,0.027395966979912287
2021-01-01 21:00:00,0.24132354489490634,0.0017738745655547583,-0.2395496703293516,0.09225030531745308
2021-01-01 22:00:00,0.15842750875174597,0.0017550602771275803,-0.1566724484746184,0.18827929411611452
2021-01-01 23:00:00,0.13837275818834685,1.005051572382528e-05,-0.13836270767262301,0.18715806254062456
